ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Other Reasons,250,18,24,29
A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Attempt to Commit suicide,94,8,17,6
A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Abetment  ,0,0,0,0
A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Animal  ,2,0,1,0
A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Attempt,0,0,0,0
A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Major - Man,4,0,0,2
A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Major - Woman,0,0,0,0
A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Minor - Boy,1,0,0,0
A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Minor - Girl,0,0,0,0
A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Attempt to Commit,21,1,2,1
A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To Extort Confession,2,0,1,0
A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To Extort Property,16,0,1,1
A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To settle Dispute,15,2,1,2
A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Others,255,23,31,29
A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC)",Male,0,0,0,0
A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC)",Female,1,0,0,1
A - IPC Crime,OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC),NA,27,2,3,4
A - IPC Crime,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC)",NA,0,0,0,0
A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Documents  ,0,0,0,0
A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Property  ,0,0,0,0
A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Persons ,4,0,1,0
A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Printed Matter,1,0,0,0
A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Others,4,0,0,0
A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Assembly,34,5,0,14
A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Parliament,0,0,0,0
A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Other Elected Bodies,14,3,1,0
A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Man,0,0,0,0
A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Woman,5,0,1,0
A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Boy,2,0,1,0
A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Girl,0,0,0,0
A - IPC Crime,Attempting to commit offences (Sec.511 IPC),Attempting to commit offences,155,15,18,20
A - IPC Crime,ILLEGAL DETENTION (Sec.342 IPC),NA,0,0,0,0
A - IPC Crime,FALSE EVIDENCE (Sec.191 to 205 IPC),NA,8,1,0,1
A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Boy ,23,5,6,2
A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Girl,28,14,5,4
A - IPC Crime,OF ABETMENT (Sec.107 to 120 IPC),NA,4,0,0,0
A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",174 A,13,0,2,1
A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",229 A,157,0,15,20
A - IPC Crime,Concealment of birth by secret disposal of Child,Girl,16,3,2,3
A - IPC Crime,Concealment of birth by secret disposal of Child,Boy,20,1,3,1
A - IPC Crime,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,NA,4,1,2,0
A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,348,5,4,9
A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,18,0,0,0
A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Others,111,1,4,0
A - IPC Crime,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,1,0,0,0
A - IPC Crime,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,4,0,0,1
A - IPC Crime,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,11,0,0,0
A - IPC Crime,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Other Area,127,7,14,10
A - IPC Crime,ARMS ACT 1959,Country Made - Prohibited Bore - In Disturbed Area,7,0,2,1
A - IPC Crime,ARMS ACT 1959,Country Made - Prohibited Bore - In Other Area,99,3,9,9
A - IPC Crime,ARMS ACT 1959,Factory Made - Non Prohibited Bore - In Disturbed Area,2,0,1,0
A - IPC Crime,ARMS ACT 1959,Factory Made - Non Prohibited Bore - In Other Area,46,1,6,3
A - IPC Crime,ARMS ACT 1959,Factory Made - Prohibited Bore - In Disturbed Area,2,0,0,0
A - IPC Crime,ARMS ACT 1959,Factory Made - Prohibited Bore - In Other Area,41,5,6,5
A - IPC Crime,ANIMAL,Wild Life Preservation Act 1972,2,0,0,0
A - IPC Crime,ANIMAL,Wild Life Protection Act 1972,5,0,1,1
A - IPC Crime,ANIMAL,Prevention of Cruelty to Animals Act 1960,232,22,42,28
A - IPC Crime,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0
A - IPC Crime,ANIMAL,Cattle Tresspass Act 1871,20,1,2,3
A - IPC Crime,CINEMATOGRAPHY ACT 1952,Films,0,0,0,0
A - IPC Crime,CINEMATOGRAPHY ACT 1952,Video,0,0,0,0
A - IPC Crime,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,14,4,0,1
A - IPC Crime,CONSUMER,Consumer (Protection) Act 1986,1,0,1,0
A - IPC Crime,CONSUMER,Essential Commodities Act 1955,393,55,40,60
A - IPC Crime,CONSUMER,Prevention of Food Adulternation Act 1954,4,1,0,2
A - IPC Crime,CONSUMER,Packaged Commodities (Regulation) order 1975,0,0,0,0
A - IPC Crime,COPY RIGHT ACT 1957,By Company,83,12,14,15
A - IPC Crime,COPY RIGHT ACT 1957,By Individual,43,5,5,5
A - IPC Crime,CIVIL RIGHTS,Protection of Civil Rights Act 1955,2,0,0,1
A - IPC Crime,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,846,70,104,109
A - IPC Crime,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,183,13,15,26
A - IPC Crime,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,321,35,36,35
A - IPC Crime,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,82,5,11,12
A - IPC Crime,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,43,16,2,2
A - IPC Crime,CHILDREN ACT,The Prohibition of Child Marriage Act - 2006,197,12,29,11
A - IPC Crime,CHILDREN ACT,Juvenile Justice Act 1986,58,3,3,6
A - IPC Crime,CHILDREN ACT,Probation of offenders Act 1958,3,0,0,1
A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0
A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Gazetted - Central,0,0,0,0
A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Gazetted - Defence,0,0,0,0
A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0
A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Gazetted - State,0,0,0,0
A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Non-Gazetted - Central,0,0,0,0
A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Non-Gazetted - Defence,0,0,0,0
A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Non-Gazetted - State,0,0,0,0
A - IPC Crime,CUSTOMS,Customs Act 1962,0,0,0,0
A - IPC Crime,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0
A - IPC Crime,Explosives,Explosives Substances Act 1908,75,5,2,2
A - IPC Crime,Explosives,Explosives Act 1884,100,8,3,4
A - IPC Crime,Explosives,Inflammable Substance Act 1952,0,0,0,0
A - IPC Crime,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0
A - IPC Crime,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0
A - IPC Crime,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0
A - IPC Crime,FOREIGNER,Foreigners Act 1946,44,1,5,5
A - IPC Crime,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0
A - IPC Crime,FOREST,Indian Forest Act 1927,4,0,1,0
A - IPC Crime,FOREST,Forest (Conservation) Act 1980,8,0,2,0
A - IPC Crime,HIJACKING,Foreign Aircraft - In India,0,0,0,0
A - IPC Crime,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0
A - IPC Crime,HIJACKING,Indian Aircraft - In India,0,0,0,0
A - IPC Crime,HIJACKING,Indian Aircraft - Outside India,0,0,0,0
A - IPC Crime,IMMORAL TRAFFIC,Organised,95,14,11,10
A - IPC Crime,IMMORAL TRAFFIC,Un-Organised,88,15,16,6
A - IPC Crime,BONDED LABOUR SYSTEM,NA,4,0,1,0
A - IPC Crime,INDIAN MOTOR VEHICLE,NA,10,2,1,3
A - IPC Crime,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,2619,217,242,223
A - IPC Crime,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,1947,128,190,240
A - IPC Crime,PASSPORT ACT,Foreigner,2,0,0,0
A - IPC Crime,PASSPORT ACT,Indian,20,1,1,3
A - IPC Crime,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,15,4,0,9
A - IPC Crime,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Parliament,3,0,0,0
A - IPC Crime,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Other Elected Bodies,4,2,0,0
A - IPC Crime,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),5550,604,617,405
A - IPC Crime,KARNATAKA POLICE ACT 1963,Street Gambling (87),6072,449,561,299
A - IPC Crime,KARNATAKA POLICE ACT 1963,House Gambling (79 & 80),242,30,35,17
A - IPC Crime,KARNATAKA POLICE ACT 1963,Betting ,440,270,62,143
A - IPC Crime,KARNATAKA POLICE ACT 1963,Others ,296,35,25,27
A - IPC Crime,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,175,7,11,7
A - IPC Crime,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,1,0,0,0
A - IPC Crime,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0
A - IPC Crime,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,32,0,0,1
A - IPC Crime,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0
A - IPC Crime,RAILWAYS ACT,Indian Railways Act 1989,7,0,3,1
A - IPC Crime,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,1,0,1,0
A - IPC Crime,RAILWAYS ACT,UNLAWFUL ACTIVITIES (Prevention) Act 1967,0,0,0,0
A - IPC Crime,CRIMES RELATED TO WOMEN,Dowry Prohibition,1472,163,184,168
A - IPC Crime,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,1,0,0,0
A - IPC Crime,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,1,0,0,0
A - IPC Crime,INDIAN LUNACY ACT,NA,0,0,0,0
A - IPC Crime,INDIAN ELECTRICITY ACT,NA,15,1,3,2
A - IPC Crime,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,189,21,30,27
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,1740,0,41,12
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,470,45,35,47
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,1252,0,18,4
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,6507,479,545,498
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,49,8,10,7
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,6,1,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,1,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,2,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,7,0,1,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Acdt 1964 & 2007,56,48,5,1
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,59,4,3,1
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,3,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,1,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,1,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,2,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,4,0,1,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,1,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,13,1,0,2
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,1,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,3,2,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,5,0,2,1
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Land Reforms Act 1961,3,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Cooperative Society Act 1959,1,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of charging Exorbitant Interest Act 2004,18,0,0,1
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Protection of Interest of Depositors in Financial Establishments Act 2004,1,0,0,1
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Police Act,30,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Motor Vehicle Act,10,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act,4,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act,14,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act,2,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Town And Country Planning Act,1,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Industrial Areas Development Act,1,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Land Revenue Act,1,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Rent Act,1,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act,1,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Sales Tax Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Agricultural Income Tax Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Tax on entry of goods Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Tax on Luxuries Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainments Tax Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Tax on Profession Trade Callings and Employments Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Motor Vehicles Taxation Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Electricity Duty Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Agricultural Produce Marketing Regulation Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Co-operative Societies Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Land Reforms Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Secondary Education Examination Board Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Secondary Education Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Open University Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Higher Education Council Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Lokayukta Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Servants (Determination of Age) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Prevention of Strikes) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Special Recruitment) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Recruitment to ministerial posts) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (General Recruitment) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Classification Control and Appeal) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Conduct) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Medical Attendance) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Travelling Allowance) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Performance Reports) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Confidential Reports) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (LTC) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Pension) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Commutation of Pension) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Compassionate Appointment) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Appointment on compassionate grounds) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of Gazetted Probationers) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Special Recruitment of scheduled castes and scheduled tribes) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment to group D posts) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of local candidates) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of physically handicapped persons) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of ex-servicemen) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of rural candidates) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of project displaced persons) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of kannada medium candidates) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Recruitment of sports persons) Rules,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (General Recruitment) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Validation of appointments) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Civil Services (Validation of selection) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Regulation of pay scale of teachers in private colleges) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Regulation of pay scale of teachers in private schools) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Regulation of pay scale of teachers in aided institutions) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Regulation of pay scale of employees in aided institutions) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka State Civil Services (Regulation of pay scale of employees in private institutions) Act,0,0,0,0
A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Others,128,10,12,14
